City,State,Cost.of.Living.Index,Rent.Index,Cost.of.Living.Plus.Rent.Index,Groceries.Index,Restaurant.Price.Index,Local.Purchasing.Power.Index,Avg.Disp.Sal.Index,lat,lng
New York, NY,100,100,100,100,100,100,100,40.71427,-74.00597
San Francisco, CA,97.84,115.36,106.29,107.52,91.06,92.96,98.80718399999999,37.77493,-122.41942
Brooklyn, NY,93.79,76.24,85.33,92.73,100.58,87.04,74.271232,40.6501,-73.94958
Rockville, MD,92.66,64,78.84,87.76,74.74,130.79,103.114836,39.084,-77.15276
Bloomington, IN,92.14,33.64,63.93,112.83,75.43,96.92,61.960955999999996,39.16533,-86.52639
Washington, DC,91.94,73.3,82.95,92.74,85,120.62,100.05429,38.89511,-77.03637
Santa Rosa, CA,90.23,58.13,74.75,92.05,78.34,106.77,79.810575,38.44047,-122.71443
Arlington, VA,89.2,61.85,76.01,88.51,82.63,120.53,91.614853,38.88101,-77.10428
Bellevue, WA,88.85,66.67,78.15,88.43,80.99,73.46,57.40899,47.61038,-122.20068
Seattle, WA,88.04,64.41,76.64,89.85,83.22,144.6,110.82144,47.60621,-122.33207
Berkeley, CA,87.82,78.69,83.42,97.88,78.29,115.84,96.633728,37.87159,-122.27275
Boston, MA,87.05,78.72,83.03,88.99,86.2,101.35,84.15090500000001,42.35843,-71.05977
Charleston, SC,86.19,45.99,66.8,98.41,71.87,115.41,77.09387999999998,32.77657,-79.93092
Miami, FL,86.01,63.2,75.01,87.37,95.81,97.81,73.367281,25.77427,-80.19366
Oakland, CA,85.11,79.57,82.44,88.65,81.38,97.94,80.74173599999999,37.80437,-122.2708
New Haven, CT,84.13,47.53,66.48,92.86,86.18,127.41,84.702168,41.30815,-72.92816
Irvine, CA,83.73,66.26,75.3,89.49,76.5,139.48,105.02843999999999,33.66946,-117.82311
Philadelphia, PA,83.46,48.09,66.4,82.24,79.37,116.06,77.06384000000001,39.95233,-75.16379
San Jose, CA,82.87,81.81,82.36,85.4,83.12,134.82,111.037752,37.33939,-121.89496
Tacoma, WA,82.54,36.82,60.49,88.02,72.46,125.1,75.67299,47.60014,-122.3283
Los Angeles, CA,82.3,68.75,75.77,82.73,82.48,109.01,82.596877,34.05223,-118.24368
Boulder, CO,82.19,53.8,68.5,86.22,74.92,143.02,97.96870000000001,40.01499,-105.27055
Portland, ME,81.6,40.73,61.89,86.96,88.58,113.69,70.362741,43.66147,-70.25533
Minneapolis, MN,81.46,45.65,64.19,87.48,75.88,131.08,84.140252,44.97997,-93.26384
Norfolk, VA,81.36,43.59,63.14,90.06,81.31,64.42,40.67478800000001,36.84681,-76.28522
Hartford, CT,80.86,42.15,62.19,78.41,86.26,101.57,63.166382999999996,41.76371,-72.68509
Queens, NY,80.77,64.73,73.04,74.39,87.27,113.4,82.82736000000001,40.68149,-73.83652
Albany, NY,80.19,30.82,56.38,83.35,71.86,139.34,78.559892,42.65258,-73.75623
Chicago, IL,80.16,56.71,68.85,79.14,77.99,119.17,82.04854499999999,41.85003,-87.65005
Jersey City, NJ,79.91,66,73.2,79.5,85.95,130.99,95.88468,40.72816,-74.07764
Olympia, WA,79.25,36.06,58.42,77.18,78.7,125.04,73.04836800000001,47.03787,-122.9007
Santa Barbara, CA,79.17,71.45,75.45,76.47,87.43,134.38,101.38971,34.42083,-119.69819
Eugene, OR,78.94,31.38,56,91.86,69.07,109.06,61.073600000000006,44.05207,-123.08675
Burlington, VT,78.89,41.89,61.05,82.04,79.41,101.19,61.776495,44.47588,-73.21207
Sacramento, CA,78.75,43.34,61.67,80.02,74.2,135.14,83.34083799999999,38.58157,-121.4944
Pittsburgh, PA,78.66,39.02,59.54,76.56,70.89,133.38,79.414452,40.44062,-79.99589
Portland, OR,78.45,51.72,65.56,79.56,68.4,125.57,82.323692,45.52345,-122.67621
Saint Paul, MN,78.37,40.38,60.05,81.15,74.68,97.64,58.63282,44.94441,-93.09327
Long Beach, CA,78.23,54.98,67.01,82.77,76.98,127.25,85.27022500000001,33.88638,-118.04535
Fort Lauderdale, FL,77.67,51.63,65.11,79.05,77.85,104.35,67.942285,26.12231,-80.14338
Everett, WA,77.63,42.48,60.68,84.84,70.29,113.75,69.0235,47.97898,-122.20208
Asheville, NC,77.36,37.85,58.31,84.94,72.18,111.73,65.14976300000001,35.60095,-82.55402
Denver, CO,77.31,54,66.07,77.48,79.43,130.1,85.95706999999999,39.73915,-104.9847
Bellingham, WA,77.13,34.7,56.67,79.09,77.88,131.14,74.317038,48.75955,-122.48822
Melbourne, FL,77.09,29.38,54.08,85.53,77.04,128.34,69.406272,28.08363,-80.60811
San Diego, CA,77.01,61.91,69.73,75.09,82.09,142.72,99.518656000000007,32.71571,-117.16472
New Orleans, LA,76.64,40.21,59.07,75.15,84,116.56,68.851992,29.95465,-90.07507
Orlando, FL,76.63,37.35,57.68,82.77,69.38,129.02,74.41873600000001,28.53834,-81.37924
Baltimore, MD,76.57,45.03,61.36,73.92,80.16,116.79,71.662344,39.29038,-76.61219
Tampa, FL,76.53,42.09,59.92,80.64,80.21,144.43,86.542456,27.94752,-82.45843
West Palm Beach, FL,76.52,43.11,60.41,79.59,78.92,124.36,75.125876,26.71534,-80.05337
Colorado Springs, CO,75.42,31.21,54.1,72.93,76.48,150.89,81.63149,38.83388,-104.82136
Charlotte, NC,75.35,40.62,58.6,79.4,73.87,112.72,66.05392,35.22709,-80.84313
Plano, TX,75.32,40.02,58.3,73.93,63.49,101.69,59.28526999999999,33.01984,-96.69889
Atlanta, GA,74.97,45.83,60.92,75,74.81,153.77,93.67668400000001,33.749,-84.38798
Fayetteville, AR,74.9,24.85,50.76,81.39,69.15,104.92,53.257392,36.06258,-94.15743
Indianapolis, IN,74.72,35.67,55.89,73.92,74.26,94.22,52.659558,39.76838,-86.15804
Birmingham, AL,74.64,31.36,53.77,76.12,74.13,134.55,72.34753500000001,33.52066,-86.80249
Augusta, GA,74.29,22.45,49.29,82.42,62.66,100.38,49.477302,33.47097,-81.97484
Greensboro, NC,74.1,26.05,50.93,80.28,62.04,141.87,72.254391,36.07264,-79.79198
Greenville, SC,74.08,36.03,55.73,83.74,67.18,127.49,71.05017699999999,34.85262,-82.39401
Jacksonville, FL,73.58,32.27,53.66,77.14,73.25,117.13,62.851957999999996,30.33218,-81.65565
Fort Collins, CO,73.57,42.07,58.38,81.45,61.31,73.23,42.751674,40.58526,-105.08442
Cleveland, OH,73.47,28.35,51.71,67.52,74.7,146.27,75.636217,41.4995,-81.69541
Milwaukee, WI,73.37,35.5,55.11,71.9,71.59,139.23,76.72965299999998,43.0389,-87.90647
Saint Petersburg, FL,73.29,41.01,57.72,72.82,75.33,145.31,83.872932,27.77086,-82.67927
Memphis, TN,72.95,27.52,51.04,73.96,70.71,154.91,79.066064,35.14953,-90.04898
Syracuse, NY,72.88,30.77,52.57,72.26,67.76,103.63,54.478291,43.04812,-76.14742
Newark, NJ,72.68,40.31,57.07,66.47,77.87,94.1,53.70286999999999,40.73566,-74.17237
Akron, OH,72.65,21.57,48.02,77.33,63.79,99.21,47.640642,41.08144,-81.51901
Austin, TX,72.46,49.8,61.53,73.02,75.56,140.39,86.38196699999999,30.26715,-97.74306
Fresno, CA,72.36,30.94,52.38,72.51,75.89,110.71,57.989898000000004,36.74773,-119.77237
Buffalo, NY,72.15,28.94,51.31,69.14,72.72,120.23,61.69001300000001,42.88645,-78.87837
Shreveport, LA,72.07,25.24,49.48,78.42,64.04,76.03,37.619644,32.52515,-93.75018
Nashville, TN,71.88,47.73,60.23,74.28,69.38,125.4,75.52842,36.16589,-86.78444
Manchester, NH,71.46,33.61,53.2,76.26,72.86,124.75,66.367,42.99564,-71.45479
Raleigh, NC,71.4,37.42,55.02,78.32,70.58,131.99,72.62089800000001,35.7721,-78.63861
Little Rock, AR,71.29,24.83,48.89,77.24,64.98,132.31,64.686359,34.74648,-92.28959
Richmond, VA,70.98,36.18,54.2,77.66,65.74,133.08,72.12936,37.55376,-77.46026
Las Vegas, NV,70.97,29.98,51.2,66.54,74.53,148.81,76.19072,36.17497,-115.13722
Saint Louis, MO,70.76,30.11,51.15,71.33,68.14,144.7,74.01404999999998,38.62727,-90.19789
Grand Rapids, MI,70.58,32.95,52.43,69.69,70.77,143.87,75.43104100000001,42.96336,-85.66809
Rochester, NY,70.52,30.31,51.13,72.96,74.66,158.71,81.14842300000001,43.15478,-77.61556
Houston, TX,70.37,44.1,57.7,71.01,71.15,145.38,83.88426,29.76328,-95.36327
Detroit, MI,70.2,35.48,53.45,67.02,59.3,131.62,70.35089,42.33143,-83.04575
Ann Arbor, MI,70.01,45.26,58.07,69.31,62.97,163.57,94.98509899999999,42.27756,-83.74088
Harrisburg, PA,69.91,27.78,49.59,72.58,66.41,140.56,69.703704,40.2737,-76.88442
Salem, OR,69.81,32,51.58,70.61,68.39,106.58,54.973963999999995,44.9429,-123.0351
Dayton, OH,69.76,21.96,46.71,73.53,62.38,114.2,53.34282,39.75895,-84.19161
Columbia, SC,69.7,29.48,50.3,75.37,65.65,92.47,46.51241,34.00071,-81.03481
Fort Wayne, IN,69.42,21.43,46.28,74.49,69.24,129.87,60.103836,41.1306,-85.12886
Des Moines, IA,69.37,31.23,50.97,73.45,63.64,125.85,64.14574499999999,41.60054,-93.60911
Virginia Beach, VA,69.33,37.42,53.94,68.92,71.08,151.73,81.84316199999999,36.85293,-75.97799
Spokane, WA,69.26,26.97,48.86,70.06,64.46,135.55,66.22973,47.65966,-117.42908
Bakersfield, CA,69.2,29.09,49.86,71.91,64.38,120.54,60.10124400000001,35.37329,-119.01871
Columbus, OH,69.13,35.51,52.92,66.96,62.16,125.47,66.398724,39.96118,-82.99879
Cincinnati, OH,69.13,31.11,50.79,61.6,70.4,136.92,69.54166799999999,39.12711,-84.51439
Kansas City, MO,69.05,29.33,49.89,68.17,63.04,135.76,67.73066399999999,39.09973,-94.57857
Lincoln, NE,68.61,28.38,49.21,71.56,62.02,124.13,61.084373,40.8,-96.66696
Fort Myers, FL,68.06,31.9,50.62,71.88,62.43,86.87,43.973594000000006,26.62168,-81.84059
Lexington, KY,67.9,25.51,47.45,69.03,62.48,130.77,62.050365000000014,37.98869,-84.47772
Fort Worth, TX,67.81,35.29,52.12,66.57,65.5,142.22,74.125064,32.72541,-97.32085
Omaha, NE,67.8,30.43,49.78,69.41,62.64,134.51,66.959078,41.25626,-95.94043
Vancouver, WA,67.79,34.12,51.55,61.12,67.28,127.95,65.958225,45.63873,-122.66149
Wichita, KS,67.02,24.63,46.58,67.02,68.1,118.39,55.146062,37.69224,-97.33754
Lubbock, TX,66.9,24.63,46.52,61.64,68.94,133.25,61.987899999999996,33.57786,-101.85517
Chattanooga, TN,66.89,27.77,48.02,67.8,62.68,145.27,69.758654,35.04563,-85.30968
Phoenix, AZ,66.87,33.32,50.69,62.4,71.42,139.29,70.606101,33.44838,-112.07404
Sioux Falls, SD,66.85,25.7,47,69.13,56.18,168.93,79.3971,43.54997,-96.70033
Salt Lake City, UT,66.76,34.91,51.4,64.48,68.75,148.6,76.3804,40.76078,-111.89105
Tulsa, OK,66.71,28.61,48.34,67.6,62.03,123.2,59.554880000000004,36.15398,-95.99277
Durham, NC,66.44,35.54,51.54,64.75,67.79,146.95,75.73803,35.99403,-78.89862
Springfield, MO,66.4,18.79,43.44,73.6,63.28,77.68,33.744192000000005,37.21533,-93.29824
Winston-salem, NC,66.27,24.96,46.34,71.92,69.63,117.44,54.421696000000004,36.09986,-80.24422
Dallas, TX,65.94,42.64,54.7,61.95,67.11,162.37,88.81639000000001,32.78306,-96.80667
Albuquerque, NM,65.73,25.5,46.33,68.04,64.58,123.57,57.249981,35.08449,-106.65114
Arlington, TX,65.63,30.04,48.47,62.02,63.87,152.9,74.11063,32.73569,-97.10807
Madison, WI,65.6,36.95,51.78,62.5,66.34,144.83,74.992974,43.07305,-89.40123
Mobile, AL,65.31,24.63,45.69,67.4,64.09,122.2,55.83318,30.69436,-88.04305
Louisville, KY,65.14,28.33,47.39,65.76,65.91,127.21,60.284819,38.25424,-85.75941
Pensacola, FL,64.88,28.72,47.44,62.12,64.75,128.73,61.069511999999996,30.42131,-87.21691
Oklahoma City, OK,64.29,26.54,46.09,66.52,58.15,142.4,65.63216,35.46756,-97.51643
Huntsville, AL,63.34,27.45,46.03,64.13,63.83,152.26,70.085278,34.7304,-86.58594
Tucson, AZ,63,23.8,44.1,61.12,63.64,138.07,60.88887,32.22174,-110.92648
Reno, NV,62.88,35.99,49.92,58.04,64.1,136.4,68.09088000000001,39.52963,-119.8138
Boise, ID,62.65,28.91,46.37,58.7,65.39,130.86,60.679782,43.6135,-116.20345
Knoxville, TN,62.18,29.77,46.55,60.36,64.67,128.69,59.90519499999999,35.96064,-83.92074
College Station, TX,61.85,32.7,47.79,68.95,57.12,118.7,56.726729999999996,30.62798,-96.33441
San Antonio, TX,60.92,34.5,48.18,58.17,60.96,154.92,74.640456,29.42412,-98.49363
Athens, GA,60.55,26.67,44.21,57.85,59.58,110.52,48.86089200000001,33.96095,-83.37794
